Year,College,MajorName,Total,Male,Female,Unknown
2018,ACES,Agr & Consumer Economics,54,29,25,0
2018,ACES,Agr & Consumer Economics,14,13,1,0
2018,ACES,Agr & Consumer Economics,142,108,34,0
2018,ACES,Agr & Consumer Economics,1,0,1,0
2018,ACES,Agr & Consumer Economics,125,96,29,0
2018,ACES,Agr & Consumer Economics,35,16,19,0
2018,ACES,Agr & Consumer Economics,1,0,1,0
2018,ACES,Agr & Consumer Economics,29,15,14,0
2018,ACES,Agr & Consumer Economics,75,44,31,0
2018,ACES,Agr & Consumer Economics,1,1,0,0
2018,ACES,Agr & Consumer Economics,95,71,24,0
2018,ACES,Agr & Consumer Economics,75,59,16,0
2018,ACES,Agric Leadership & Sci Educ,27,8,19,0
2018,ACES,Agric Leadership & Sci Educ,28,9,19,0
2018,ACES,Agricultural & Applied Econ,23,13,10,0
2018,ACES,Agricultural & Applied Econ,63,35,28,0
2018,ACES,Agricultural & Biological Engr,84,47,37,0
2018,ACES,Agricultural Communications,1,0,1,0
2018,ACES,Agricultural Communications,27,10,17,0
2018,ACES,Agricultural Communications,10,1,9,0
2018,ACES,Agricultural Education,10,2,8,0
2018,ACES,Agricultural Education,22,8,14,0
2018,ACES,Agricultural Production,6,1,5,0
2018,ACES,Animal Sciences,7,2,5,0
2018,ACES,Animal Sciences,64,6,57,1
2018,ACES,Animal Sciences,1,0,1,0
2018,ACES,Animal Sciences,432,76,355,1
2018,ACES,Animal Sciences,24,6,18,0
2018,ACES,Animal Sciences,4,2,2,0
2018,ACES,Animal Sciences,54,17,37,0
2018,ACES,Animal Sciences,40,19,21,0
2018,ACES,Bioinformatics,4,3,1,0
2018,ACES,Bioprocessing and Bioenergy,10,6,4,0
2018,ACES,Computer Science&Crop Sciences,4,4,0,0
2018,ACES,Crop Sciences,9,2,7,0
2018,ACES,Crop Sciences,2,1,1,0
2018,ACES,Crop Sciences,20,13,7,0
2018,ACES,Crop Sciences,33,22,11,0
2018,ACES,Crop Sciences,50,28,22,0
2018,ACES,Crop Sciences,6,3,3,0
2018,ACES,Crop Sciences,12,4,8,0
2018,ACES,Crop Sciences,33,22,11,0
2018,ACES,Crop Sciences,22,13,9,0
2018,ACES,Crop Sciences,51,28,23,0
