Year,College,MajorName,Total,Male,Female,Unknown
1980,Business,Accountancy,1529,928,601,5
1980,Media,Advertising,240,77,163,0
1980,Engineering,Aero & Astro Engineering,379,351,28,0
1980,ACES,Agr & Environmental Cmc & Educ,5,4,1,0
1980,ACES,Agricultural & Applied Econ,315,277,38,0
1980,ACES,Agricultural Communications,79,31,48,0
1980,ACES,Agricultural Education,26,21,5,0
1980,Engineering,Agricultural Engineering,189,168,21,0
1980,ACES,Agricultural Sciences,81,57,24,0
1980,ACES,Agronomy,173,133,40,0
1980,Aviation,Air Systems,172,152,20,0
1980,ACES,Animal Sciences,487,245,242,1
1980,LAS,Anthropology,78,42,36,2
1980,ACES,Application Design,11,0,11,0
1980,Fine and Applied Arts,Architectural Studies,627,474,153,0
1980,Fine and Applied Arts,Architecture,186,154,32,5
1980,Fine and Applied Arts,Art Education,72,13,59,0
1980,Fine and Applied Arts,Art History,59,14,45,0
1980,Fine and Applied Arts,Art and Design,363,115,248,3
1980,LAS,Asian Studies,17,10,7,1
1980,LAS,Astronomy,16,13,3,1
1980,LAS,Atmospheric Sciences,22,17,5,0
1980,Aviation,Avionics,8,8,0,1
1980,Education,BUS EDUC,33,13,20,0
1980,LAS,Biochemistry,86,66,20,0
1980,LAS,Biology,158,93,65,3
1980,LAS,Biophysics & Computnl Biology,21,18,3,0
1980,Business,Business Administration,1414,831,583,5
1980,Engineering,CER ENGR,156,125,31,1
1980,Engineering,CERAMICS,4,4,0,0
1980,ACES,CORE CURR,158,124,34,0
1980,LAS,Chemical Engineering,530,419,111,1
1980,LAS,Chemical Physics,6,5,1,0
1980,LAS,Chemistry,531,408,123,3
1980,Engineering,Civil Engineering,902,792,110,4
1980,LAS,Classical Philology,9,7,2,0
1980,LAS,Classics,9,8,1,0
1980,Media,Communication,27,12,15,0
1980,Applied Life Sciences,Community Health,46,18,28,2
1980,LAS,Comparative Literature,42,22,20,1
1980,Engineering,Computer Engineering,286,252,34,0
1980,Engineering,Computer Science,697,544,153,3
1980,Fine and Applied Arts,Crafts,20,5,15,0
1980,ACES,DAIRY SCI,51,39,12,0
1980,ACES,DIETETICS,32,0,32,0
1980,Fine and Applied Arts,Dance,41,5,36,0
1980,Education,ED POL ST,56,31,25,1
1980,Education,ED SEC&CON,115,48,67,3
1980,Education,EDUC ELEMENTARY,129,26,103,6
1980,Education,EDUC GEN,116,32,84,0
1980,Education,EDUC IDISC,5,2,3,0
1980,Engineering,ENGR MECH,34,28,6,0
1980,Engineering,ENGR PHYS,105,97,8,0
1980,Engineering,ENV ENGR,33,27,6,0
1980,Engineering,ENV SCI,5,5,0,0
1980,ACES,EXT EDUC,13,5,8,2
1980,Education,Early Childhood Education,78,0,78,0
1980,Business,Economics,160,117,43,0
1980,Education,Ed Organization and Leadership,135,65,70,11
1980,Education,Educ Voc Tech,120,59,61,4
1980,Education,Educational Psychology,156,65,91,7
1980,Engineering,Electrical Engineering,1645,1497,148,4
1980,Education,Elementary Education,428,33,395,0
1980,LAS,English,108,50,58,1
1980,LAS,Entomology,30,23,7,1
1980,ACES,FAM&CON EC,20,0,20,0
1980,Business,Finance,536,352,184,2
1980,ACES,Food Science & Human Nutrition,209,82,127,1
1980,ACES,Forestry,124,95,29,0
1980,LAS,French,40,7,33,4
1980,ACES,GEN AGR,74,57,17,0
1980,ACES,GEN AGRIC,1,1,0,0
1980,LAS,GEN CURR,2408,1015,1393,4
1980,Engineering,GEN ENGR,618,485,133,0
1980,ACES,GEN H ECON,5,0,5,0
1980,LAS,Genetics,6,3,3,0
1980,LAS,Geography,43,30,13,0
1980,LAS,Geology,115,79,36,0
1980,LAS,German,26,13,13,2
1980,Fine and Applied Arts,Graphic Design,164,40,124,1
1980,ACES,H DVL-FAM,36,0,36,0
1980,Applied Health Sciences,HEALTH&SAF,8,4,4,0
1980,Applied Health Sciences,HLTH EDUC,65,12,53,0
1980,ACES,HOME EC ED,1,0,1,0
1980,ACES,HOME ECON,171,0,171,1
1980,ACES,HOME MGMT,2,0,2,0
1980,LAS,HR&FS,62,0,62,0
1980,ACES,HR&FS A&ID,6,0,6,0
1980,ACES,HR&FS GEN,1,0,1,0
1980,ACES,HU DEV&FAM,14,1,13,0
1980,LAS,History,82,46,36,3
1980,ACES,Horticulture,48,28,20,0
1980,ACES,INST MGMT,8,1,7,0
1980,ACES,INT DSGN,140,9,131,2
1980,ACES,Industrial Agriculture,70,57,13,0
1980,Fine and Applied Arts,Industrial Design,97,56,41,0
1980,Engineering,Industrial Engineering,188,130,58,0
1980,LAS,Italian,2,2,0,0
1980,Media,Journalism,203,75,128,2
1980,Applied Health Sciences,Kinesiology,268,125,143,2
1980,Labor and Industrial Relations,LAB&IN REL,79,47,32,1
1980,LAS,LAS TCH MATH,1,0,1,0
1980,Fine and Applied Arts,Landscape Architecture,158,97,61,2
1980,Law,Law,639,468,171,2
1980,Applied Health Sciences,Leisure Studies,52,28,24,0
1980,iSchool,Library & Information Science,142,34,108,1
1980,LAS,Linguistics,63,32,31,1
1980,Business,MARKETING,54,24,30,0
1980,Engineering,METAL ENGR,190,159,31,1
1980,ACES,MKT TEXT&A,103,2,101,0
1980,Applied Health Sciences,MOTOR DEV,33,3,30,0
1980,Applied Health Sciences,MOTOR P&SP,28,14,14,0
1980,Fine and Applied Arts,MUS-VOICE,44,15,29,0
1980,Fine and Applied Arts,MUSIC-COMP,19,16,3,0
1980,Fine and Applied Arts,MUSIC-INST,105,54,51,0
1980,LAS,Mathematics,139,119,20,0
1980,ACES,Mechanical Agriculture,49,49,0,0
1980,Engineering,Mechanical Engineering,1012,934,78,3
1980,LAS,Microbiology,59,34,25,1
1980,LAS,Molecular & Integrative Physi,57,43,14,1
1980,Fine and Applied Arts,Music,251,144,107,7
1980,Fine and Applied Arts,Music Education,309,130,179,2
